,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
60,전북,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
61,전북,한국마사회,2024년도 한국마사회 신입사원 채용공고,신입/경력(연차무관),학력무관,정규직,대기업,"6조 4,310억 4,669만원 (2022)","2,473 명 재직중","2,683만원
자세히보기","1조 5,000억원",1000대-안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-빵빵한 구내식당
62,전북,(재)전북테크노파크,제2차 직원채용 공고,신입/경력(연차무관),학력무관,정규직외,중소기업,"362억 2,631만원 (2016)",107 명 재직중,"5,720만원
자세히보기","663억 6,421만원",공기업공공기관-채용에 적극적인 회사-보너스로 행복해요♥-빵빵한 구내식당
63,전북,(재)한국탄소산업진흥원,2024년 02호 공개경쟁 채용 공고,신입/경력(연차무관),학력무관,정규직외,중기업,"605억 6,345만원 (2022)",110 명 재직중,"6,274만원
자세히보기","100억 4,510만원",공기업공공기관-성장판 열린 회사-채용에 적극적인 회사
64,전북,(주)하림,"[사무직][사무직]법무, 감사, 안전보건, R&D, 영업, 생산, 공무 등 모집",신입/경력(연차무관),학력무관,정규직,대기업,"1조 3,583억 4,038만원 (2023)","2,437 명 재직중","4,865만원
자세히보기",531억 485만원,1000대-하림그룹-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-지방에 위치한 대기업-거침없이 성장하는 회사-매출 1000대 기업-
65,전남,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
66,전남,여수광양항만공사,2024년 1차 청년인턴(체험형) 및 일반직 직원 채용 공고,신입/경력(연차무관),학력무관,정규직외,중기업,"1,397억 8,460만원 (2022)",214 명 재직중,"6,753만원
자세히보기","1조 5,523억 3,543만원",우수기업-성장판 열린 회사-채용에 적극적인 회사-인크루트 인증 우수기업
67,전남,코레일관광개발(주),2024년 2차 공개경쟁 채용 모집공고,신입/경력(연차무관),학력무관,정규직외,중기업,"1,397억 8,460만원 (2022)",214 명 재직중,-,"1조 5,523억 3,543만원",한국철도공사그룹-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업-공기업 in 서울
68,전남,우리은행,[광주전남] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","7,469만원
자세히보기","3조 3,813억 9,200만원",KOSPI-우수기업-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
69,전남,한국가스안전공사,2024년 한국가스안전공사 정규직 채용 공고,신입/경력(연차무관),학력무관,정규직외,대기업,"1,764억 7,847만원 (2016)","1,265 명 재직중","6,315만원
자세히보기","551억 4,154만원",공기업공공기관-안정적인 장수 회사-구직자 인기기업-지방에 위치한 대기업
70,경북,삼성전자판매(주),갤럭시 컨설턴트 채용 (충청/경상권),신입/경력(연차무관),학력무관,계약직,대기업,"3조 4,462억 6,273만원 (2022)","3,897 명 재직중","7,218만원
자세히보기","176억 6,660만원",1000대-삼성그룹-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-
71,경북,한국마사회,2024년도 한국마사회 신입사원 채용공고,신입/경력(연차무관),학력무관,정규직,대기업,"6조 4,310억 4,669만원 (2022)","2,473 명 재직중","2,683만원
자세히보기","1조 5,000억원",1000대-안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-빵빵한 구내식당
